,prompt,answer
1487,อาร์เอ็นเอเป็นสิ่งมี่ชีวิตหรือไม่เพราะเหตุใด,ไม่เป็น อาร์เอ็นเอเป็นแค่สายพอลิเมอร์
1502,อวกาศมีได้อย่างไร,ตามทฤษฏีที่น่าเชื่อถือ และเป็นที่ยอมรับมากที่สุด คาดว่าเกิดจาก บิกแบง
2905,จงตัดคำด้วยเครื่องหมาย | ในข้อความต่อไปนี้: มีเหตุไฟไหม้ที่โรงงาน,ตัดคำด้วยเครื่องหมาย | ได้ดังนี้: มี|เหตุ|ไฟไหม้|ที่|โรงงาน
2315,การทำบันทึกรายรับรายจ่ายมีผลต่อการบริหารจัดการเงินอย่างไร,ช่วยให้เราสามารถเห็นรายการเงินได้กับรายจ่าย เพื่อช่วยให้ปรับพฤติกรรมการใช้เงินได้
2262,มะพร้าวเผาทำอย่างไร,ใช้การขุดหลุมแล้วนำเศษไม้หรือเปลือกมะพร้าวลองก้นหลุม นำลูกมะพร้าววางเรียง กลบทับด้วยเปลือกมะพร้าวใช้เวลาเผาประมาณ 1 ชั่วโมงก็ได้มะพร้าวเผา
1385,1 นิวตันเท่ากับกี่กิโลกรัม,ไม่สามารถแปลงโดยตรงได้ ต้องเข้าสูตร w = m·g ถ้าวัดบนผิวโลก แรง 1 นิวตันจะเท่ากับประมาณแรงที่กระทำโดยมวล 1 / 9.80665 = 0.101971621 กิโลกรัมตามแนวดิ่ง ถ้าไปวัดบนดาวดวงอื่น แรงและมวลก็จะต่างกับโลก
1364,"อยากถามว่าสูตรที่ใช้แก้โจทย์แบบนี้มันทำยังไง

1+......+100

และก็พวกที่

1+3+5+...+95+97+99

ช่วยบอกหน่อยว่าทำยังไง","1. จับคู่พจน์แรกกับพจน์สุดท้ายบวกกัน ถัดมาจับคู่พจน์ที่สองกับพจน์ก่อนสุดท้าย เช่น (1+100)+(2+99)+...
2. จากนั้นก็คำนวณว่ามีกี่คู่ กรณีนี้มี 100/2 = 50 คู่
3. คูณผลบวกในข้อ 1 กับ จำนวนคู่ในข้อ 2 50*101 = 5,050"
1298,การเลี้ยงสัตว์ในเอเชียตะวันออกเฉียงใต้เลี้ยงไว้เพื่ออะไร,การเลี้ยงสัตว์มีหลายจุดประสงค์ เช่นเลี้ยงไว้ดูเล่น เลี้ยงไว้ใช้แรงงาน เลี้ยงไว้ใช้เป็นอาหาร หรือเลี้ยงไว้เพื่อกิจกรรมพิเศษ
1867,จงหาคำที่มีความหมายตรงข้ามกับคำต่อไปนี้: เปิด,ปิด
929,ช่วยวางแผนเที่ยวภูเก็ตให้หน่อย,คุณสามารถนั่งเครื่องบินจากสนามบินไปลงที่สนามบินภูเก็ตได้ หรือ เดินทางโดยรถโดยสาร หรือขับรถยนต์ส่วนตัว จากนั้นขึ้นรถสายเดินทางรอบภูเก็ต เที่ยวป่าตองหรือเที่ยวชายหาดในภูเก็ต แนะนำให้ท่านศึกษาฤดูกาลที่จะท่องเที่ยว ควรเลือกช่วงเวลาที่สภาพอากาศดี เพื่อให้เหมาะกับการท่องเที่ยวของคุณ และจองโรงแรม ศึกษาการเดินทาง และสถานที่ท่องเที่ยงที่คุณสนใจ
368,เทน้ำมันหรือสิ่งปฏิกูลลงท่อระบายน้ำผิดกฎหมายอย่างไร,"ผู้ที่เทน้ำมันหรือสิ่งปฏิกูลลงท่อระบายน้ำ จะมีความผิดตามพระราชบัญญัติรักษาความสะอาดและความเป็นระเบียบเรียบร้อยของบ้านเมือง พ.ศ. 2535 มาตรา 33 วรรคหนึ่ง และมาตรา 57 ที่กำหนดว่า ห้ามมิให้ผู้ใดเทหรือทิ้งสิ่งปฏิกูลมูลฝอย น้ำโสโครก หรือสิ่งอื่นใดลงบนถนนหรือในทางน้ำ หากผู้ใดฝ่าฝืนหรือไม่ปฏิบัติตามมาตรา 33 วรรคหนึ่ง ต้องระวางโทษปรับไม่เกิน 10,000 บาท ในกรณีที่มีผู้แจ้งเบาะแสเมื่อพบเห็นผู้กระทำผิด จะได้รับเงินส่วนแบ่งรางวัลนำจับครึ่งหนึ่งของค่าปรับ"
1788,ฟังชั้นคีย์บอร์ดตั้งแต่ F1 - F12 มีความหมายว่าอย่างไร,F บนปุ่มย่อมาจาก function ในคอมพิวเตอร์สมัยก่อนใช้เป็นคีย์ลัดเพื่อบรรจุคำสั่งการทำงานที่ซ้ำ ๆ กัน (บันทึกลงไปได้เอง) ซึ่งมีมากกว่า 12 ปุ่มเสียอีก ปัจจุบันไม่ค่อยเหลือความสำคัญเท่าไร จะมีก็แต่การทำงานที่ถูกกำหนดขึ้นโดยระบบปฏิบัติการ เช่น ในวินโดวส์ F1 ใช้แทนการขอความช่วยเหลือ (เปิดคู่มือ) F2 ใช้แทนการเปลี่ยนชื่อไฟล์ F5 ใช้แทนการโหลดหน้าจอใหม่ เป็นต้น และผู้ใช้ทั่วไปเปลี่ยนเองไม่ได้ ต้องเปลี่ยนโดยการเขียนโปรแกรมขึ้นมาทับการทำงานเดิม
3128,ช่วยคิดข้อความจดหมายส่งหาอาจารย์ เรื่อง เชิญมาร่วมงานแต่งงานให้หน่อย,"เรียนอาจารย์ [ชื่อ-นามสกุล]

กระผม/ดิฉัน [ชื่อนามสกุลของคุณ] ขอเชิญอาจารย์มาร่วมงานแต่งงานระหว่าง [ชื่อนามสกุลคนแต่ง เจ้าบ่าว] กับ  [ชื่อนามสกุลคนแต่ง เจ้าสาว] ในวันที่ [วันที่ เดือน ปี] ตั้งแต่เวลา [เวลาเริ่มจัดงาน] ถึงเวลา [เวลาเลิกงาน] ณ [สถานที่จัดงาน] โดยกระผม/ดิฉัน ได้แนบกำหนดการงานดังกล่าวในจดหมายนี้

ด้วยความเคารพ
[ชื่อนามสกุลของคุณ]"
3000,"จงตอบคำถามต่อไปนี้เป็นภาษาอังกฤษเท่านั้น:
ข้าวหอมมะลิไทยมาถิ่นกำเนิดจากไหน",Thai jasmine rice originates from Thailand.
1080,ขอคำพูดปลอบใจเพื่อที่สอบเข้ามหาวิทยาลัยไม่ติดหน่อย,สอบไม่ผ่านมันเป็นเรื่องธรรมดา ไม่มีใครอยากสอบตกหรอก สู้ๆนะ!
594,ควรอาบน้ำสุนัขสัปดาห์ละกี่ครั้ง ,ในสุนัขที่มีสภาพผิวหนังและขนปกติแนะนำให้อาบน้ำสัปดาห์ละ 1-2 ครั้ง และเป่าขนให้แห้งสนิท การอาบน้ำที่บ่อยเกินไปอาจไปชะล้างความชุ่มชื้นที่ผิวหนังทำให้เกิดผิวแห้ง และเป็นโรคผิวหนังตามมาได้ หากสุนัขเป็นโรคผิวหนัง เช่น การติดเชื้อแบคทีเรีย เชื้อรา ควรใช้แชมพูยาตามที่สัตวแพทย์แนะนำ ซึ่งอาจจะต้องอาบน้ำบ่อยกว่าสุนัขทั่วไป
969,วางแผนขึ้นภูกระดึงให้หน่อย 1 คืน 2 วัน,"แผนการท่องเที่ยวขึ้นภูกระดึง จำนวน 2 วัน
วันที่ 1 ขึ้นเขา ไหว้พระพุทธเมตตา-ชมพระอาทิตย์ตกที่ผาหมากดูก
วันที่ 2 ชมพระอาทิตย์ขึ้นที่ผานกแอ่น ไหว้พระแก้ว ลงเขา"
1538,เฉาฉุยแปลว่าอะไร,เป็นภาษาจีนแต้จิ๋ว แปลว่าปากเสีย (เฉา=เหม็นเน่า)
2323,เกิดอะไรขึ้นกับตั๊กแตนปาทังก้าที่เคยระบาดในประเทศไทย,จากการระบาดตั๊กแตนปาทังก้าเมื่อปี พ.ศ.2525 - พ.ศ.2530 สร้างความเสียดายให้กับพื้นที่การเกษตรของไทย คนไทยจึงจับตั๊กแตนปาทังก้านำไปขายกับบริโภคเป็นอาหารว่างหรือกับแกล้มรสโอชะ โปรตีนสูงกับน้ำพริกและซอส นอกจากนั้น ชาวบ้านพากันไปขุดเอาไข่หรือตัวอ่อนตั๊กแตนกับไข่ตั๊กแตนที่ฝังอยู่ใต้ดินมาขายต่อ ซึ่งได้ราคาสูงกว่ามาก ด้วยเหตุเหล่านี้ทำให้ตั๊กแตนปาทังก้าหยุดการระบาดในประเทศไทยและหายไปจากประเทศไทย แต่คนไทยบางส่วนยังนำเข้าตั๊กแตนปาทังก้าจากเพื่อนบ้าน เพื่อมาบริโภคกันอยู่ในปัจจุบัน
2887,แปลงเลข 2566 เป็นเลขไทยให้หน่อย,แปลงเลข 2566 เป็นเลขไทยได้เป็น ๒๕๖๖
354,จับปลาในเขตอุทยานแห่งชาติ มีความผิดตามกฎหมายอย่างไรบ้าง,"การตกปลาหรือการล่าสัตว์ในเขตอุทยานแห่งชาติ มีความผิดตามพระราชบัญญัติอุทยานแห่งชาติ พ.ศ. 2562 มาตรา 19 (3) ประกอบ มาตรา 43 ถือว่าเป็นการนำสัตว์ป่าออกไปหรือกระทำให้เป็นอันตรายแก่สัตว์ป่าด้วยประการใด ๆ ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 500,000 บาท หรือทั้งจำทั้งปรับ"
174,อาหารที่ดีที่สุดที่ควรกินเพื่อช่วยลดความดันโลหิตคืออะไร?,อาหารที่ดีที่สุดในการลดความดันโลหิต ได้แก่ ผักใบเขียว ปลาที่มีไขมัน ถั่วและเมล็ดพืช ผลไม้และผลเบอร์รี่ พืชตระกูลถั่ว และเมล็ดธัญพืช นอกจากนี้ การรับประทานอาหารที่อุดมด้วยโพแทสเซียม แคลเซียม แมกนีเซียม และไฟเบอร์สามารถช่วยลดระดับความดันโลหิตได้
1402,เส้นละติจูด ลองติจูดคืออะไร,"ละติจูดและลองติจูดคือเส้นสมมติที่ลากขึ้นมา ละติจูดคือเส้นที่ลากเป็นวงกลม (เส้นแนวนอนบนหนังสือ) ลองติจูดคือเสันเบ่งที่ลากตามแนวเหนือใต้

มีจุดประสงค์ที่จะใช้ในการ
1. ใช้กำหนดตำแหน่งทางภูมิศาสตร์
2. ใช้ละติจูดในการแบ่งเขตสภาวะอากาศ
3. ใช้ลองติจูดในการกำหนดเขตเวลา"
506,มีวิธีแยกต้นอินทนิลกับเสลาและตะแบกอย่างไร,"คุณสามารถแยกต้นอินทนิลกับเสลาและตะแบกได้ดังนี้
- อินทนิลจะออกดอกเป็นช่อตรงปลายยอดกิ่ง และมีใบเขียวเต็มต้น
- เสลาส่วนมากจะทิ้งใบเกือบหมดต้น แล้วออกดอกตามกิ่งทั่วทั้งต้น
- ตะแบกจะออกดอกช่วงปลายฤดูฝนกันยายน-ตุลาคม ไม่ออกดอกปนกับใคร สามารถแยกจากการออกดอกได้"
2822,วาทกรรมคืออะไร,"วาทกรรม คือ ชุดความคิดที่ถูกสร้างขึ้นและเพื่อให้สังคมเชื่อ ตัวอย่างเช่น ""มีลุงไม่มีเรา"" จากพรรคการเมืองพรรคหนึ่งที่ใช้ในการหาเสียงเพื่อเรียกคะแนนและสร้างภาพให้กับพรรคการเมืองของตัวเอง เป็นต้น"
1556,สายการบินนานาชาติญี่ปุ่นคือสายการบินอะไร,"เจแปนแอร์ไลน์, ออลนิปปอนแอร์เวย์ ฯลฯ"
1697,ประโยคที่ว่า ประเทศไทยสวยงามมาก ให้แปลเป็นตัวอักษรจีน ได้ว่าอะไร,泰国是很美丽的。
572,กระต่ายควรกินอาหารอะไร,กระต่ายควรให้กินหญ้าเป็นอาหารหลักคิดเป็น 80% ของอาหารทั้งหมด ส่วนอาหารเม็ด ผักสด สามารถให้ได้ในปริมาณที่จำกัดคิดเป็น 20% ของอาหารทั้งหมด และเมื่อกระต่ายอายุ 8 เดือนขึ้นไป ควรลดหญ้าแห้ง alfafa ลงเพราะจะได้รับแคลเซียมปริมาณเกินกว่าที่ร่างกายต้องการ
1572,โรงเรียนหลวงแห่งแรกของประเทศไทยคืออะไร,โรงเรียนพระตำหนักสวนกุหลาบ อยู่ในพระบรมมหาราชวังตั้งในสมัยรัชกาลที่ 5 แต่ต่อมาสถานที่ไม่พอรองรับนักเรียน จึงย้ายสถานที่ออกไป และเปลี่ยนชื่อโรงเรียนสวนกุหลาบวิทยาลัย
1071,ขอเรียงความเรื่องความฝันของเด็กไทย,ความฝันของเด็กไทย เด็กไทยมีฝัน พวกเขาฝันถึงอนาคตที่ดีกว่า อนาคตของครอบครัวที่มั่นคง สังคมที่เข้มแข็ง เศรษฐกิจที่แข็งแกร่ง การศึกษาที่ดีขึ้น สุขภาพที่แข็งแรง สิ่งแวดล้อมที่สวยงาม สันติภาพ และความยุติธรรม. ประเทศไทยเป็นประเทศที่อุดมสมบูรณ์ เรามีทรัพยากรธรรมชาติมากมาย เราสามารถสร้างอนาคตของเราเองได้ เราต้องรวมกันและสร้างฝันของเราให้เป็นจริง
3007,"จงตอบคำถามต่อไปนี้เป็นภาษาอังกฤษเท่านั้น:
ใครเป็นนายกรัฐมนตรีประเทศไทยคนที่ 29",Prayut Chan-o-cha is a Thai retired politician and army officer who became the 29th Prime Minister of Thailand.
387,การนำสัตว์เลี้ยงมาปล่อยทิ้งไว้ที่วัดมีความผิดตามกฎหมายอย่างไร,"เข้าข่ายผิดกฎหมายตามพระราชบัญญัติป้องกันการทารุณกรรมและการจัดสวัสดิภาพสัตว์ พ.ศ. 2557 มาตรา 23 ที่กำหนดห้ามมิให้เจ้าของสัตว์ปล่อย ละทิ้ง หรือกระทำการใดๆให้สัตว์พ้นจากการดูแลของตนโดยไม่มีเหตุอันสมควร หากฝ่าฝืนต้องระวางโทษปรับไม่เกิน 40,000 บาท ตามาตรา 32 แห่งพระราชบัญญัติดังกล่าว"
1991,ภาษาไทยตัดคำไม่ได้จริงไหม,ไม่จริง ภาษาไทยสามารถตัดคำได้ โดยใช้เทคนิคต่าง ๆ ที่มีอย่างมากมายในปัจจุบัน เช่น ใช้พจนานุกรมคำศัพท์ เพื่อช่วยในการตัดคำ หรือ โครงข่ายประสาทเทียมก็สามารถตัดคำภาษาไทยได้เช่นกัน เป็นต้น
2930,"ยกตัวอย่างประโยคที่ใช้ ""นะค่ะ"" ที่ถูกต้องตามหลักภาษาไทยมาหนึ่งประโยค",ดิฉัน เป็นคนมีฐานะค่ะ
1446,ส่วนของแอปเปิ้ลที่ใช้บริโภคคือส่วนใดของดอก,ผลไม้ทุกชนิดเจริญจากรังไข่ของดอกไม้ เว้นแต่พืชนั้นจะไม่ใช่พืชดอก ดังนั้น ส่วนของแอปเปิ้ลที่ใช้บริโภคคือส่วนที่เจริญจากรังไข่ของดอกแอปเปิ้ลจากต้นแอปเปิ้ล
2838,ถ้าอยากปล่อยปลาไหลควรปล่อยที่ไหน,ควรปล่อยลงในแม่น้ำ ห้วยหนอง คลองบึง ท้องนา หรือร่องสวน บริเวณที่มีดินเฉอะแฉะ และกระแสน้ำไหลไม่แรงมาก
184,ทำไมน้ำแข็งบนชาเย็นของฉันถึงกลายเป็นสีขาว?,ก้อนน้ำแข็งทำจากน้ำ และจะเปลี่ยนเป็นสีขาวเมื่อแข็งตัว สีของน้ำแข็งขึ้นอยู่กับสิ่งเจือปนในน้ำ ดังนั้นหากคุณมีแร่ธาตุหรือสารอื่น ๆ ในน้ำมาก น้ำแข็งก็อาจจะเปลี่ยนเป็นสีขาวได้
254,มีพิซซ่า 10 ถาด ต้องการแบ่งให้ 5 คน ต้องแบ่งให้คนละกี่ถาด,เดิมมีพิซซ่า 10 ถาด คน 5 คน สามารถแบ่งเฉลี่ยให้ครบทุกคนได้ 10÷5=2 คำตอบคือ 2 ถาด
507,การเจลเบรกมือถือมีข้อเสียอย่างไรบ้าง,"ข้อเสียของการเจลเบรกมือถือมีดังต่อไปนี้
- เพิ่มความเสี่ยงด้านความปลอดภัย: การเจลเบรกเป็นการเพิ่มช่องโหว่ด้านความปลอดภัยให้กับมือถือของคุณ เพราะเป็นการเจาะระบบของมือถือของคุณ สร้างความเสี่ยงที่มือถือของคุณอาจถูกขโมยข้อมูลได้
- ประกันมือถือหมดอายุ: การเจลเบรกทำให้การรับประกันมือถือของคุณขาดหรือหมดอายุทันทีตามเงื่อนไขของการรับประกันมือถือ
- ถูกบล็อกจากการใช้งานแอพต่างๆ: ธนาคารและผู้ผลิตแอพส่วนใหญ่ได้บล็อการใช้งานแอพของตนในเครื่องที่ถูกเจลเบรก เพื่อป้องกันการเจาะระบบของแอพที่อาจสร้างความเสียหายให้กับข้อมูลผู้ใช้งานของเครื่องและของคนอื่น"
442,หากหญิงที่ทำให้ตนเองแท้งลูกหรือยอมให้ผู้อื่นทำให้ตนแท้งลูกขณะมีอายุครรภ์เกิน 12 สัปดาห์ ผิดกฎหมายหรือไม่อย่างไร,"ผิดกฎหมาย จำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ ตามประมวลกฎหมายอาญา : มาตรา 301 หญิงใดทำให้ตนเองแท้งลูกหรือยอมให้ผู้อื่นทำให้ตนแท้งลูก ขณะมีอายุครรภ์เกินสิบสองสัปดาห์ ต้องระวางโทษจำคุกไม่เกินหกเดือน หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ"
945,เกมสารไทยมีจุดเด่นอย่างไร,เป็นเกมที่แสดงถึงเอกลักษณ์และลักษณะของความเป็นไทยได้เป็นอย่างดี
1730,1มิลลิลิตร = กี่cc,หนึ่งมิลลิลิตร เท่ากับ หนึ่งลูกบาศก์เซนติเมตร
809,มนุษย์มีโครโมโซมกี่คู่,มนุษย์มีโครโมโซม 23 คู่
314,การรีไฟแนนซ์คืออะไร,การรีไฟแนนซ์ คือ การเปลี่ยนเจ้าหนี้ โดยเป็นกระบวนการปิดหนี้ที่มีอยู่ทั้งหมดด้วยเงินกู้จากเจ้าหนี้ใหม่ โดยมีเป้าหมายเพื่อให้เงินกู้ใหม่มีเงื่อนไขที่ดีกว่ารายการหนี้เดิม
631,ช้างที่โตเต็มวัยมีน้ำหนักมากที่สุดกี่กิโลกรัม,ช้างเอเชียตัวเล็กสามารถมีน้ำหนักได้ระหว่าง 2.3 ถึง 5 ตัน ขณะที่ช้างแอฟริกันที่ใหญ่กว่าเล็กน้อยสามารถมีน้ำหนักได้มากถึง 6 ตัน
1206,ภาษาไทยจัดอยู่ในตระกูลภาษาใด,ภาษาไทยเป็นภาษาในกลุ่มภาษาไต ซึ่งเป็นกลุ่มย่อยของตระกูลภาษาไท-กะได สันนิษฐานว่า ภาษาในตระกูลนี้มีถิ่นกำเนิดจากทางตอนใต้ของประเทศจีน และนักภาษาศาสตร์บางท่านเสนอว่า ภาษาไทยน่าจะมีความเชื่อมโยงกับ ตระกูลภาษาออสโตร-เอเชียติก ตระกูลภาษาออสโตรนีเซียน ตระกูลภาษาจีน-ทิเบต
44,หญิงข้ามเพศควรแข่งกีฬาในรายการเดียวกับเพศหญิงโดยกำเนิดหรือไม่,ขึ้นอยู่กับมุมมองของคุณ ตามหลักวิทยาศาสตร์ หญิงข้ามเพศ (Transgender woman) อาจได้เปรียบเพศหญิงโดยกำเนิดหลายอย่าง หากเป็นกีฬาที่มีสรีระร่างกายเข้ามาเกี่ยวข้องด้วย
2415,ทำไม Windows 8 ถึงใช้งานยากและแตกต่างจาก Windows รุ่นอื่น ๆ,Windows 8 เป็นระบบปฏิบัติการที่ทางไมโครซอฟท์ต้องการเน้นการทำงานไปที่ระบบจอสัมผัสเป็นจุดเด่นมากกว่าใช้งานบนคอมพิวเตอร์ตั้งโต๊ะแบบเดิม ๆ และเน้นอุปกรณ์ที่ผสมระหว่างคอมพิวเตอร์ตั้งโต๊ะกับจอสัมผัส พร้อมทั้งยังออกแบบส่วนติดต่อผู้ใช้งานใหม่ เพื่อที่จะแข่งขังกับไอเพดจากแอปเปิ้ล จึงทำให้ Windows 8 ใช้งานยากและไม่เหมาะกับคอมพิวเตอร์ตั้งโต๊ะที่ไม่มีจอสัมผัส
596,อาหารมีผลกับผิวหนังสุนัขหรือไม่,มีผล เนื่องจากผิวหนังและเส้นขนของสุนัขก็ต้องการวิตามิน แร่ธาตุต่างๆ เป็นองค์ประกอบทำให้ขนและผิวหนังเงางาม การเลี้ยงสุนัขด้วยอาหารที่ไม่มีคุณภาพ หรือขาดความสมดุลขององค์ประกอบ สามารถทำให้ผิวหนังแห้ง ขาดความขุ่มชื้น ขนร่วง มีสะเก็ดตามตัว เป็นต้น   ในอีกกรณีคือ สัตว์ที่เป็นโรคภูมิแพ้อาหาร โรคนี้จะทำให้เกิดอาการคัน ผิวหนังแดง ส่วนมากมักจะแพ้โปรตีนที่มาจากสัตว์ การแก้ไขคือเปลี่ยนเป็นอาหารสำหรับโรคภูมิแพ้
139,จำแนกสิ่งต่อไปนี้ตามทวีปหรือมหาสมุทร: เอเชีย แอฟริกา อเมริกาเหนือ แอตแลนติก แปซิฟิก อินเดีย อาร์กติก อเมริกาใต้ แอนตาร์กติกา ยุโรป ออสเตรเลีย,"ทวีป - เอเชีย แอฟริกา อเมริกาเหนือ อเมริกาใต้ แอนตาร์กติกา ยุโรป และออสเตรเลีย
มหาสมุทร - แอตแลนติก แปซิฟิก อินเดีย และอาร์กติก"
1151,ทำไมสิ่งมีชีวิตต่าง ๆ จึงไม่สามารถสังเคราะห์ด้วยแสงได้เช่นเดียวกับพืช,สิ่งมีชีวิตต่าง ๆ ที่คุณพูดถึง คงหมายถึงสัตว์ ธรรมชาติสร้างสัตว์มาให้กินพืช และกินสัตว์ด้วยกัน ได้รับพลังงานจากการกิน จึงไม่จำเป็นต้องสังเคราะห์ด้วยแสง แต่ในขณะเดียวกันแบคทีเรียบางชนิด (แบคทีเรียไม่ใช่สัตว์) สามารถสังเคราะห์ด้วยแสงได้ เพราะมันไม่สามารถไปกินพืช
2522,ผู้ก่อตั้งมหาวิทยาลัยขอนแก่นคือใคร,ผู้ก่อตั้งมหาวิทยาลัยขอนแก่น คือ จอมพล สฤษดิ์ ธนะรัชต์ นายกรัฐมนตรี ณ ขณะนั้นได้เริ่มแนวคิดจัดตั้งสถาบันการศึกษาชั้นสูง ด้านวิศวกรรมศาสตร์ และเกษตรศาสตร์ ขึ้นที่จังหวัดขอนแก่น
2325,ปลาบึกใกล้สูญพันธุ์เพราะด้วยเหตุใด,เพราะการสร้างเขื่อนกั้นแม่น้ำและระเบิดเกาะแก่งแม่น้ำโขงส่งผลกระทบต่อระบบนิเวศแม่น้ำโขงตอนกลางและตอนปลาย ระดับน้ำไม่สม่ำเสมอ นอกจากนั้นยังมีปัญหาการจับปลาบึกในช่วงฤดูวางไข่
2719,เรือโป๊ะใช้ขนส่งอะไร,เรือโป๊ะเป็นเรือที่สามารถใช้ขนส่งสินค้าได้หลากหลายประเภท โดยเฉพาะ สินค้าประเภท เทกอง เช่น น้ำตาล ถ่านหิน เป็นต้น
2594,พ่อมดแกนดัล์ฟ เป็นตัวละครที่อยู่ในนิยายใด,นิยายเดอะลอร์ดออฟเดอะริงส์  กับ นิยายเดอะ ฮอบบิท
1940,สงครามอะไรที่มนุษย์พ่ายแพ้ให้กับสัตว์,สงครามนกอีมู (Emu War) เป็นสงครามที่มนุษย์ได้พ่ายแพ้ให้กับสัตว์ ระหว่างมนุษย์กับนกอีมู เกิดขึ้นที่ประเทศออสเตรเลียในช่วงปลายปีค.ศ. 1932 เนื่องจากต้องการลดจำนวนประชากรของนกอีมู โดยใช้กำลังทหารของกองทัพออสเตรเลีย สุดท้าย ทางกองทัพได้ประกาศพ่ายแพ้ให้กับนกอีมู ถือเป็นหนึ่งในสงครามสุดอัปยศของมวลมนุษยชาติ
414,เห็นคนจมน้ำ แต่กลับนิ่งเฉยหรือไม่พยายามช่วย มีความผิดตามกฎหมายอย่างไร,"หากมีหน้าที่รับผิดชอบโดยตรง เช่นเจ้าหน้าที่ช่วยชีวิตประจำสระน้ำเห็นคนจมน้ำในสระที่ตัวเองดูแล แต่กลับนิ่งเฉยหรือไม่พยายามช่วยก็อาจเป็นความผิดเนื่องจาก “งดเว้น” การกระทำ ซึ่งเป็นเจ้าหน้าที่ที่มีหน้าที่ป้องกันเหตุร้ายโดยตรง
แต่ถ้าบุคคลนั้นไม่มีความเกี่ยวข้องโดยตรง สามารถเข้าไปช่วยได้ แต่ก็ไม่ช่วย ซึ่งหากไม่ยอมเข้าไปช่วยก็อาจเป็นความผิดอาญาได้เช่นกันเนื่องจาก “ละเว้น” การกระทำ อย่างไรก็ดีการ “ละเว้น” หน้าที่พลเมืองดีในลักษณะนี้เป็นความผิดที่มีโทษสถานเบา (ลหุโทษ)
ประมวลกฎหมายอาญา มาตรา 374 ผู้ใดเห็นผู้อื่นตกอยู่ในภยันตรายแห่งชีวิตซึ่งตนอาจช่วยได้โดยไม่ควรกลัวอันตรายแก่ตนเองหรือผู้อื่นแต่ไม่ช่วยตามความจำเป็น ต้องระวางโทษจำคุกไม่เกินหนึ่งเดือน หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำ ทั้งปรับ
ประมวลกฎหมายอาญา มาตรา 59 วรรคห้า การกระทำ ให้หมายความรวมถึง การให้เกิดผลอันหนึ่งอันใดขึ้นโดยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้นด้วย"
2252,กังหันลมที่นาเกลือใช้ทำอะไร,กังหันลมที่นาเกลือใช้ในการผันน้ำเข้านาโดยไม่ต้องพึ่งพาน้ำมันเครื่อง แต่ปัจจุบันไม่นิยมใช้งานกันแล้วเนื่องจากกระแสลมเปลี่ยนไป จึงหันมาใช้เครื่องสูบน้ำแทน
705,สร้างบทสนทนาสั้นๆ ระหว่างพนักงานขายกับลูกค้าที่กำลังเลือกซื้อโทรศัพท์มือถือ,"พนักงานขาย: สนใจรุ่นอะไรสอบถามได้นะครับ
ลูกค้า: กำลังเลือกสองรุ่นนี้อยู่ไม่แน่ใจว่าจะเลือกรุ่นอะไรดี
พนักงานขาย: สองรุ่นนี้สเปคเหมือนกันแต่ต่างกันที่การออกแบบกับราคา
ลูกค้า: นั่นเอารุ่นทางขวาแล้วกัน
พนักงานขาย: เชิญลูกค้าที่เคาน์เตอร์นะครับ"
2862,เวียงหนองหล่มมีความสำคัญอย่างไร,"ความสำคัญของเวียงหนองหล่ม คือ เป็นพื้นที่สำคัญทางประวัติศาสตร์ เชื่อมโยงเข้ากับตำนานกำเนิดและล่มสลายของ ชุมชนโบราณที่เรียกว่า ""เมืองโยนกนครพันธ์สิงหนวตินคร"" หรือ ""เวียงหนองล่ม"" สันนิษฐานกันว่าอยู่ระหว่างยุคหินใหม่ ถึงไม่เกินพุทธศตวรรษที่ ๑๙ นอกจากนั้น ปัจจุบันเวียงหนองหล่มเป็นพื้นที่สาธารณะที่มีลักษณะเป็นแอ่งรับน้ำ หรือพื้นที่ชุ่มน้ำขนาดใหญ่ที่สุดของอำเภอแม่จัน และจังหวัดเชียงราย"
3187,"เขียนบทความตามข้อมูลต่อไปนี้:
แมวเป็นสัตว์เอาแต่ใจ แต่พยายามปรับตัวเข้าหามนุษย์",แมวเอ๋ยแมวเหมียว เหล่าผู้เลี้ยงแมวคงรู้ว่า แมวเป็นสัตว์เอาแต่ใจ ไม่ว่าจะซื้อของเล่น ของกินมาแค่ไหนก็เอาใจยาก เรียกบางทีก็ไม่มา ไม่หัน ไม่เล่นด้วย แต่คุณรู้ไหมว่าจริง ๆ แมวพยายามปรับตัวเข้าหามนุษย์หรือคนอย่างพวกเราอยู่ตลอด ทั้งการวิวัฒนาการเข้ามาอยู่ร่วมกับมนุษย์ และ แมวจากแมวป่ากลายเป็นแมวบ้านในปัจจุบัน แม้จะรู้อิสระ เอาแต่ใจ แต่ขอให้พยายามมองแมวในมุมมองนี้ด้วยและพยายามให้พื้นที่ให้แมวปรับตัวเข้าหาคุณอยู่เรื่อย ๆ เพียงเท่านี้แมวของคุณจะน่ารักมากขึ้นหรือคุณมองเห็นความน่ารักของแมวของคุณมากขึ้นเอง
