question,law,label
เป็นผัวเมียกัน ตามกฎหมายต้องให้เงินเมียใช้ไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
สิทธิเรียกร้องค่าทดแทนกรณีสมรสเป็นโมฆะมีกำหนดอายุความกี่ปี ,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ที่ปิดบังพินัยกรรมของเจ้ามรดกย่อมถูกกำจัดมิให้รับมรดกหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในกรณีที่สัญญาซึ่งเป็นตราสารที่เกิดโดยมีหนังสือโต้ตอบกันและมิได้ปิดแสตมป์บริบูรณ์ ตะถือว่าสัญญานั้นได้ปิดแสตมป์บริบูรณ์แล้ว,ประมวลรัษฎากร,1
เจ้าพนักงานประเมินสามารถส่งหนังสือถึงแก่ผู้ใด เพื่อสอบถามเกี่ยวกับการคืนภาษีอากร,ประมวลรัษฎากร,1
ผู้ให้ฟ้องคดีถอนคืนการให้เมื่อพ้น 10 ปีแล้ว กรรมสิทธิ์ในทรัพย์สินจะเป็นของใคร,ประมวลกฎหมายแพ่งและพาณิชย์,1
วิธีการขายหุ้นภายหลังจากการเพิ่มทุนของบริษัทจำกัดต้องทำอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าผู้เป็นหุ้นส่วนจำกัดความรับผิดค้าขายที่มีสภาพอย่างเดียวกับห้างจะทำได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ถือหุ้นในบริษัทจำกัด รับผิดในหุ้นอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
เมื่อเจ้าหนี้ทวงให้ผู้ค้ำประกันชำระหนี้ ผู้ค้ำประกันมีสิทธิกระทำการอย่างไรก่อน,ประมวลกฎหมายแพ่งและพาณิชย์,1
คำบอกกล่าวขาดความเชื่อถือในกรณีไม่ใช้เงินนั้น จะต้องระบุรายการลงไปอะไรบ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าของที่ทำพินัยกรรมไว้สูญหายไป ผู้รับพินัยกรรมในของชิ้นนั้นจะยังมีสิทธิอะไรหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ค่าใช้จ่ายตามธรรมดาเพื่อบำรุงทรัพย์สินอันเป็นลาภมิควรได้ ต้องชดใช้เเก่บุคคลผู้คืนทรัพย์นั้นเต็มจำนวนหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าคู่สมรสได้สมรสโดยถูกข่มขู่ ผลทางกฎหมายจะเป็นอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ขายสามารถสอดเข้ามาในคดีเพื่อปฏิเสธการเรียกร้องของบุคคลภายนอกได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
อยากทราบว่าในส่วนของวิธีจัดการบริษัทจำกัด จะสามารถมีกรรมการบริษัทได้กี่คน,ประมวลกฎหมายแพ่งและพาณิชย์,1
บุคคลภายนอกมีสิทธิอย่างไร หากคู่สัญญาฝ่ายหนึ่งทำสัญญาตกลงว่าจะชำระหนี้แก่บุคคลภายนอก,ประมวลกฎหมายแพ่งและพาณิชย์,1
การออกใบผ่านภาษีอากร ใครมีหน้าที่ต้องตรวจสอบว่าผู้ยื่นคำร้องมีภาษีอากรที่จะต้องเสียหรือไม่,ประมวลรัษฎากร,1
การโอนกรรมสิทธิ์ในอสังหาริมทรัพย์ของผู้มีสิทธิ์ก่อนสามารถใช้กับเรื่องอื่นๆได้อีกไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
นายจ้างย้ายให้ลูกจ้างไปทำงานที่บริษัทอื่นได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ชำระบัญชีต้องจัดการชำระหนี้ของบริษัทตามลำดับอย่างไรบ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
บุคคลใดเป็นออกกฎบังคับจัดตั้งของสำนักงานสำหรับจดทะเบียนห้างหุ้นส่วนและบริษัท,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ขายไม่ต้องรับผิดในสัญญาซื้อขายกรณีใดบ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
ตัวแทนค้าต่างใช้กฎหมายอะไรบังคับ,ประมวลกฎหมายแพ่งและพาณิชย์,1
ลูกหนี้มีสามารถสละประโยชน์แห่งอายุความได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
อธิบดีมีอำนาจในการกำหนดอะไรบ้างสำหรับผู้ประกอบการจดทะเบียนที่ขายสินค้าหรือให้บริการรายย่อย,ประมวลรัษฎากร,1
การฝ่าฝืนกฎกระทรวงกำหนดหลักเกณฑ์ วิธีการ และเงื่อนไข เพื่อกำหนดกระบวนการทางอิเล็กทรอนิกส์เพื่อใช้แทนการดำเนินการเกี่ยวกับทะเบียนภาษีมูลค่าเพิ่ม เป็นความผิดตามประมวลกฎหมายรัษฎากรหรือไม่,ประมวลรัษฎากร,1
ถ้าเราเห็นว่าทีวีเครื่องเก่าเครื่องหนึ่งสภาพค่อนข้างดีถูกทิ้งไว้นานเป็นอาทิตย์ไม่มีใครมาแสดงตัวว่าเป็นเจ้าของ เราสามารถเอาทีวีเครื่องนั้นมาเป็นของตัวเองได้มั้ย,ประมวลกฎหมายแพ่งและพาณิชย์,1
การได้มาซึ่งทรัพย์สินโดยสุจริตและเสียค่าตอบแทนอาจเสียไปเพราะความบกพร่องของนิติกรรมที่ทำให้ได้ทรัพย์สินมาหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในกรณีใดที่ตราสารหนึ่งฉบับสามารถมีลักษณะตราสารหลายๆเรื่องระบุไว้ในฉบับเดียวกันหรือแผ่นเดียวกันได้ โดยไม่ต้องปิดแสตมป์แยกเป็นเรื่องๆ,ประมวลรัษฎากร,1
มรดกของบุคคลธรรมดาสามารถตกเป็นของแผ่นดินได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
บุคคลมีหน้าที่หักภาษีกรณีเป็นเงินได้พึงประเมินประเภทเงินเดือนต้องจ่ายเงินภาษีที่ไหน,ประมวลรัษฎากร,1
สามารถริบหุ้นที่ไม่ถูกชำระได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
สมาชิกสมาคมสามารถออกจากสมาคมได้เมื่อใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในกรณีใดที่จำต้องให้ผู้อำนวยการหรือผู้จัดการคณะนั้นๆเป็นผู้รับผิดชอบ,ประมวลรัษฎากร,1
เมื่ออายุความสะดุดหยุดลงเป็นโทษแก่ลูกหนี้ ย่อมเป็นโทษแก่ผู้ค้ำประกันด้วยหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในห้างหุ้นส่วนจำกัด หุ้นส่วนประเภทใดสามารถโอนหุ้นได้โดยไม่ต้องได้รับความยินยอมจากหุ้นส่วนคนอื่น,ประมวลกฎหมายแพ่งและพาณิชย์,1
หากผู้เช่าไม่ทำตามข้อตกลงในสัญญาเช่า ผู้ให้เช่าสามารถบอกยกเลิกสัญญาเช่านั้นได้ทันทีหรือไม่อย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
การลงรายการในรายงานที่จัดทำต้องปฏิบัติตามหลักเกณฑ์อย่างไร,ประมวลรัษฎากร,1
อัตราภาษีมูลค่าเพิ่มที่ต้องเรียกเก็บจากผู้ซื้อผลิตภัณฑ์น้ำมันต้องตรวจสอบจากกฎหมายใด,ประมวลรัษฎากร,1
เมื่อตั้งบริษัทแล้วต้องดำเนินการอย่างไรต่อไป,ประมวลกฎหมายแพ่งและพาณิชย์,1
หากตัวแทนได้ทำละเมิด ตัวการต้องร่วมรับผิดหรือไม่อย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
การใช้สิทธิที่ตนมีนั้นมีข้อจำกัดไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในกรณี บุคคลที่ตั้งตัวแทนจัดการทรัพย์สิน หรือผู้รับประโยชน์จากทรัสต์ เป็นผู้มีเงินได้สุทธิถึงจำนวนต้องเสียภาษี บุคคลใดเป็นผู้มีหน้าที่ต้องปฏิบัติการตามบทบัญญัติว่าด้วยการเก็บภาษีบุคคลธรรมดา แทนผู้ยังไม่บรรลุนิติภาวะ ผู้ที่ศาลสั่งให้เป็นคนไร้ความสามารถหรือเสมือนไร้ความสามารถ ผู้ที่ถึงแก่ความตาย ตามประมวลรัษฎากร,ประมวลรัษฎากร,1
การเพิกถอนนิติกรรม มีอายุความกี่ปี,ประมวลกฎหมายแพ่งและพาณิชย์,1
นิติกรรมที่เกี่ยวกับอสังหาริมทรัพย์จะสมบูรณ์ได้ก็ต่อเมื่อ,ประมวลกฎหมายแพ่งและพาณิชย์,1
สัญญาประกันภัยจะฟ้องร้องบังคับคดีได้ต้องมีลักษณะใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
ใครเป็นผู้กำหนดเงื่อนไขกรณีคืนภาษีมูลค่าเพิ่มจากสินค้าที่ซื้อภายในประเทศแต่ได้ที่นำออกนอกประเทศ,ประมวลรัษฎากร,1
จำนำตั๋วเงิน ผู้รับจำเนาเรียกเก็บเงินตามต๋วได้หรือไม่ ,ประมวลกฎหมายแพ่งและพาณิชย์,1
วิธีจ่ายเงินค่าอุปการะเลี้ยงดูต้องทำอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
เจ้าพนักงานประเมินตามประมวลรัษฎากรมีอำนาจอย่างไร,ประมวลรัษฎากร,1
การสมรสเป็นโมฆะในกรณีใดได้บ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
สิทธิเรียกค่าทดเเทนกรณีผิดสัญญาหมั้นมีอายุความกี่เดือน,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าคนที่ลงลายมือชื่อในตั๋วเงินมีคนที่ไม่สามารถเป็นคู่สัญญาได้เลย ผลทางกฎหมายเป็นอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
เกณฑ์อะไรบ้างที่ศาลจะใช้พิจารณากำหนดบำเหน็จให้ผู้ปกครอง,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในกรณีที่บุคคลหนึ่งได้ออกใบรับหลายๆฉบับอันเป็นการแบ่งแยกมูลค่า เพื่อหลีกเลี่ยงการเสียอากร มีความผิดหรือไม่,ประมวลรัษฎากร,1
ถ้าเสนอว่าจะทำสัญญาภายในระยะเวลาที่กำหนด ภายหลังไม่ทำสัญญานั้นตามที่กำหนดจะได้ไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
เจ้าพนักงานประเมิน สามารถเป็นนิติบุคคลซึ่งรัฐมนตรีเป็นผู้แต่งตั้งได้หรือไม่,ประมวลรัษฎากร,1
ถ้าตัวแทนค้าต่างได้ทำการขายได้ราคาสูงกว่าที่ตัวการกำหนดผลทางกฎหมายเป็นอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในการอุทธรณ์การประเมินภาษีอากรที่อำเภอไม่มีหน้าที่ประเมินต้องอุทธรณ์จะต้องอุทธรณ์อย่างไร,ประมวลรัษฎากร,1
ถ้ามีตั๋วแลกเงินสามารถยื่นแก่ผู้จ่ายได้ในทันทีเพื่อให้รับรอง ได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
เมื่อไม่มีที่ว่างในตั๋วเงินสำหรับการสลักหลังเพิ่มเติม ให้ทำอย่างไรเพื่อดำเนินการสลักหลังต่อไปได้,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าผู้ได้รับหมายหรือคำสั่งตามประมวลรัษฎากร ของอำเภอหรือเจ้าพนักงานประเมินไม่ปฏิบัติตามหมายหรือคำสั่งของอำเภอจะเกิดผลอย่างไร,ประมวลรัษฎากร,1
เจ้าของทรัพย์ มีสิทธิ์อะไรบ้างตามกฎหมาย,ประมวลกฎหมายแพ่งและพาณิชย์,1
หากมีข้อสงสัยเกิดขึ้นในกรณีมีเจ้าหนี้หลายคน มีข้อสันนิษฐานว่าเจ้าหนี้จะได้รับชำระหนี้อย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
คดีฟ้องหย่าอยู่ในระหว่างพิจารณา ถ้าฝ่ายใดร้องขอ ศาลสามารถสั่งอะไรได้บ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
ตอนไหนที่ทรัพย์สินที่จะไว้ให้มูลนิธิจะตกแก่มูลนิธิ,ประมวลกฎหมายแพ่งและพาณิชย์,1
ในการประชุมใหญ่ต้องมีผู้ถือหุ้นมาเข้าร่วมประชุมเท่าใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
ข้อความในนิติกรรมจะเป็นผลเมื่อมีเหตุการณ์อันไม่แน่นอนว่าจะเกิดขึ้นหรือไม่ในอนาคต ข้อความนี้เรียกว่า ,ประมวลกฎหมายแพ่งและพาณิชย์,1
พ่อแม่ขายที่ดินซี่งเป็นกรรมสิทธิ์ของลูกอายุ 16 ปีได้ไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
ลูกหนี้สามารถรับช่วงสิทธิจากเจ้าหนี้ได้เมื่อใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
ทรัพย์สินระหว่างสามีภริยาเป็นสินสมรสหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้เป็นหุ้นส่วนที่ยังอยู่รับซื้อหุ้นของผู้ที่ออกจากหุ้นส่วนไป สัญญาหุ้นส่วนยังใช้ได้ต่อไปได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
การเเสดงเจตนาตัดมิให้รับมรดกจะถอนได้หรือไม่ ,ประมวลกฎหมายแพ่งและพาณิชย์,1
"ในกรณีใดที่การเช่าซื้อทรัพย์สินเป็นจำนวนเงิน 5,500 บาท ให้คำนวณค่าอากรแสตมป์อย่างไร และบุคคลใดเป็นผู้ที่ต้องเสียอากรและขีดฆ่าแสตมป์",ประมวลรัษฎากร,1
การส่งมอบทรัพย์สินทำได้อย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
การจะเป็นหุ้นส่วนจำเป็นต้องลงทุนหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
กรณีที่ผู้ประกอบการได้แจ้งต่ออธิบดีเพื่อเสียภาษีมูลค่าเพิ่ม ต้องยื่นคำขอจดทะเบียนภาษีมูลค่าเพิ่มภายในกี่วันหลังจากวันที่แจ้งต่ออธิบดี,ประมวลรัษฎากร,1
กรณีลูกหนี้รับสภาพความผิดโดยมีหลักฐานเป็นหนังสือหรือให้ประกันมีอายุความสิทธิเรียกร้องเท่าใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
กรณีที่มีการเพิ่มมูลค่าของกิจการขนาดย่อม ซึ่งมีผลให้มูลค่าของฐานภาษีของกิจการดังกล่าวต่ำกว่ามูลค่าภาษีของกิจการขนาดย่อมที่กำหนดขึ้นใหม่ การจดทะเบียนของผู้ประกอบการนั้นจะมีผลเป็นอย่างไร,ประมวลรัษฎากร,1
การคำนวณเบี้ยปรับที่ไม่ได้ชำระภาษีหรือนำส่งภาษีให้ครบถ้วนภายในกำหนดเวลาเริ่มรับตั้งแต่เมื่อใด,ประมวลรัษฎากร,1
ผู้มีหน้าที่เสียภาษีสำหรับกิจการขายอสังหาริมทรัพย์เป็นทางค้าหรือหากำไรต้องเสียภาษีในอัตราเท่าไรเมื่อจดทะเบียนสิทธิและนิติกรรมเกี่ยวกับอสังหาริมทรัพย์,ประมวลรัษฎากร,1
ใครต้องรับผิดในกรณีที่ทรัพย์สินที่ได้มาจากสิทธิเก็บกินสลายไปหรือเสื่อมราคาลง,ประมวลกฎหมายแพ่งและพาณิชย์,1
วิธีการอุทธรณ์การประเมินภาษีที่อำเภอมีวิธีการอะไรบ้าง,ประมวลรัษฎากร,1
ซื้อหวยใต้ดิน แล้วเขาไม่จ่าย ฟ้องได้ไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
หากผู้ประกอบการจดทะเบียนที่ประกอบกิจการอย่างอื่นซึ่งมิใช่เป็นกิจการค้าปลีก มีความประสงค์จะออกใบกำกับภาษีอย่างย่อและหรือใช้เครื่องบันทึกการเก็บเงิน จะต้องขออนุมัติจากผู้ใด,ประมวลรัษฎากร,1
ที่ดินที่มีเจ้าของ 2 คน ใครจะเป็นผู้มีสิทธิในการจัดการที่ดินดังกล่าว,ประมวลกฎหมายแพ่งและพาณิชย์,1
พ่อ แม่ที่หย่ากัน แล้วลูกต้องอยู่กับแม่ พ่อต้องจ่ายเงินค่าเทอมหรือค่ากินอยู่ให้ลูกไหม,ประมวลกฎหมายแพ่งและพาณิชย์,1
การจำนำเพื่อเป็นประกันการชำระหนี้ รวมในส่วนของดอกเบี้ยด้วยหรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
การประชุมใหญ่สามัญของสมาคมต้องจัดขึ้นปีละกี่ครั้ง,ประมวลกฎหมายแพ่งและพาณิชย์,1
ถ้าพินัยกรรมมีเงื่อนไขว่าจะจัดการมรดกได้ตอนอายุ 20 ปี ระหว่างรอให้อายุครบต้องทำอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
พาวัวเข้าไปกินหญ้าในที่นาที่หว่านข้าวไว้ได้หรือไม่,ประมวลกฎหมายแพ่งและพาณิชย์,1
เจ้าหน้าที่ของรัฐสามารถปรับเป็นพินัยได้กี่คนในกรณีที่ค่าปรับไม่เกินหนึ่งหมื่นบาท,พระราชบัญญัติว่าด้วยการปรับเป็นพินัย,1
บุคคลที่มีหน้าที่ขีดฆ่าแสตมป์แต่ไม่ปฏิบัติตามจะได้รับโทษอย่างไร,ประมวลรัษฎากร,1
หากผู้บริหารท้องถิ่นอนุมัติให้ขยายเวลาชำระภาษี ผู้เสียภาษีจะต้องเสียเงินเพิ่มเท่าไหร่ต่อเดือนหากชำระภายในเวลาที่ขยายให้,พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง,1
หากบุคคลใดไม่ปฏิบัติตามมาตรา 17 มาตรา 50 ทวิ หรือมาตรา 51 ของประมวลรัษฎากร จะมีโทษอย่างไร?,ประมวลรัษฎากร,1
พระราชบัญญัติศาลเยาวชนและครอบครัวฉบับที่ 6 พ.ศ. 2565 มีผลต่ออำนาจหน้าที่ของศาลเยาวชนและครอบครัวอย่างไร?,พระราชบัญญัติศาลเยาวชนและครอบครัวและวิธีพิจารณาคดีเยาวชนและครอบครัว,1
"หากผู้กระทำผิดตามมาตรา 83, 84, 85 หรือ 87 ไม่ยินยอมชำระค่าปรับตามที่เปรียบเทียบจะเกิดอะไรขึ้น",พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง,1
นายจ้างต้องจ่ายค่าล่วงเวลาให้ลูกจ้างบ่อยแค่ไหนตามมาตรา 70,พระราชบัญญัติคุ้มครองแรงงาน,1
การโอนทรัพย์สินที่เกิดขึ้นในระยะเวลาหนึ่งปีก่อนยื่นคำร้องขอฟื้นฟูกิจการและเจ้าหนี้ผู้ได้เปรียบเป็นบุคคลภายในของลูกหนี้ ศาลมีอำนาจทำอย่างไรได้บ้าง?,พระราชบัญญัติล้มละลาย,1
รถบรรทุกคนโดยสารสามารถรับบรรทุกคนที่เป็นโรคติดต่อได้หรือไม่,พระราชบัญญัติจราจรทางบก,1
หากบุคคลไม่ปฏิบัติตามคำสั่งของคณะกรรมการหรือพนักงานเจ้าหน้าที่จะมีผลอย่างไร,พระราชบัญญัติประกันสังคม,1
การกระทำความผิดเกี่ยวกับแสตมป์รัฐบาลต่างประเทศจะได้รับโทษอย่างไรเมื่อเทียบกับโทษปกติ?,ประมวลกฎหมายอาญา,1
หากสิทธิเรียกร้องเป็นการให้ชำระเงิน บุคคลภายนอกต้องยื่นคำร้องคัดค้านก่อนเหตุการณ์ใด?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
หากคู่ความต้องการยื่นบัญชีระบุพยานเพิ่มเติมต้องทำอย่างไร?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
ในกรณีที่ศาลฎีกาเห็นว่าคำพิพากษาของศาลอุทธรณ์ไม่ถูกต้อง ศาลฎีกามีอำนาจทำอย่างไรบ้าง?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
การนับอายุความในกรณีทั่วไปเริ่มต้นเมื่อใด,ประมวลกฎหมายแพ่งและพาณิชย์,1
ผู้ประนีประนอมคดีครอบครัวต้องปฏิบัติหน้าที่อย่างไร?,พระราชบัญญัติศาลเยาวชนและครอบครัวและวิธีพิจารณาคดีเยาวชนและครอบครัว,1
หากคู่ความฝ่ายหนึ่งปฏิเสธความถูกต้องของสำเนาเอกสารที่อ้างอิงมาเป็นพยานหลักฐาน ศาลจะดำเนินการอย่างไร,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
การยักยอกทรัพย์สินถือเป็นความผิดที่สามารถยอมความได้หรือไม่,ประมวลกฎหมายอาญา,1
กองทุนเงินทดแทนต้องมีระบบการบัญชีอย่างไร,พระราชบัญญัติเงินทดแทน,1
สามารถลากรถหรือจูงรถเกินหนึ่งคันได้หรือไม่,พระราชบัญญัติจราจรทางบก,1
การกระทำใดบ้างที่ถือว่าละเมิดอำนาจศาลตามมาตรา 31?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
หากเจ้าของสื่อโฆษณาทำการโฆษณายาเสพติดโดยไม่ได้รับอนุญาตจะมีโทษอย่างไร,ประมวลกฎหมายยาเสพติด,1
ผู้เสียภาษีสามารถคัดค้านการประเมินภาษีได้ภายในกี่วันหลังจากได้รับแจ้ง?,พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง,1
หากมีผู้ขัดขวางการปฏิบัติหน้าที่ของพนักงานเจ้าหน้าที่ตามมาตรา 18 (2) หรือ (3) หรือมาตรา 21 จะได้รับโทษอย่างไร,พระราชบัญญัติว่าด้วยราคาสินค้าและบริการ,1
หากทะเบียนระหว่างประเทศสำหรับเครื่องหมายการค้าถูกเพิกถอน เจ้าของต้องยื่นคำขอจดทะเบียนในราชอาณาจักรภายในระยะเวลาใด,พระราชบัญญัติเครื่องหมายการค้า,1
ทรัพย์สินของสภากาชาดไทยได้รับการยกเว้นภาษีตามพระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง พ.ศ. 2562 หรือไม่?,พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง,1
คำว่า 'ผู้สร้างสรรค์' ตามพระราชบัญญัติลิขสิทธิ์ (ฉบับที่ 5) พ.ศ. 2565 หมายถึงอะไร,พระราชบัญญัติลิขสิทธิ์,1
กิจการที่นายจ้างจัดให้มีกองทุนสำรองเลี้ยงชีพต้องปฏิบัติตามมาตรา 130 หรือไม่,พระราชบัญญัติคุ้มครองแรงงาน,1
ศาลมีอำนาจทำอย่างไรหากพบว่าผู้แทนไม่มีอำนาจหรืออำนาจบกพร่องในการดำเนินคดี,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
ผู้ให้บริการจะได้รับการยกเว้นความรับผิดจากการละเมิดลิขสิทธิ์ในกรณีใดบ้างตามมาตรา 43/2 ของพระราชบัญญัติลิขสิทธิ์ (ฉบับที่ 5) พ.ศ. 2565?,พระราชบัญญัติลิขสิทธิ์,1
ในกรณีที่ต้องการพบเหตุของการตาย เจ้าพนักงานสามารถดำเนินการอย่างไรกับศพ?,ประมวลกฎหมายวิธีพิจารณาความอาญา,1
มูลนิธิสามารถจัดสรรทรัพย์สินเพื่อวัตถุประสงค์ใดบ้าง,ประมวลกฎหมายแพ่งและพาณิชย์,1
หนี้จะระงับสิ้นไปในกรณีใดตามมาตรา 353 ของประมวลกฎหมายแพ่งและพาณิชย์,ประมวลกฎหมายแพ่งและพาณิชย์,1
หากบุคคลถูกกักขังตามคำสั่งศาล จะมีวิธีใดบ้างที่สามารถทำให้บุคคลนั้นพ้นจากการกักขังได้?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
หากอุทธรณ์ที่ยื่นต่อพัศดีส่งถึงศาลล่าช้าเกินกำหนดอายุอุทธรณ์ จะถือว่าอย่างไร,ประมวลกฎหมายวิธีพิจารณาความอาญา,1
หากหัวหน้าหน่วยงานของรัฐไม่เห็นด้วยกับคำสั่งไม่ฟ้องของพนักงานอัยการ ควรดำเนินการอย่างไร,พระราชบัญญัติว่าด้วยการปรับเป็นพินัย,1
พระราชบัญญัติให้ใช้ประมวลกฎหมายอาญา พ.ศ. 2499 มีชื่อเรียกอย่างเป็นทางการว่าอะไร?,ประมวลกฎหมายอาญา,1
การกระทำโดยเจตนาตามมาตรา 59 หมายถึงอะไร?,ประมวลกฎหมายอาญา,1
การส่งออกบัตรอิเล็กทรอนิกส์ปลอมไปนอกราชอาณาจักรมีโทษอย่างไร,ประมวลกฎหมายอาญา,1
การขุดดินที่ไม่ปฏิบัติตามมาตรา 25 มีบทลงโทษอย่างไรบ้าง?,พระราชบัญญัติการขุดดินและถมดิน,1
สหภาพแรงงานต้องทำอย่างไรหลังจากที่ประชุมใหญ่รับรองงบดุลและรายงานการสอบบัญชี?,พระราชบัญญัติแรงงานสัมพันธ์,1
พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง พ.ศ. 2562 มีผลบังคับใช้ตั้งแต่เมื่อใด,พระราชบัญญัติภาษีที่ดินและสิ่งปลูกสร้าง,1
คณะกรรมการควบคุมยาเสพติดประกอบด้วยใครบ้างตามมาตรา 25 ของประมวลกฎหมายยาเสพติด?,ประมวลกฎหมายยาเสพติด,1
หากบุคคลรู้ว่าเป็นโมฆียะและบอกล้างแล้วจะมีผลอย่างไร,ประมวลกฎหมายแพ่งและพาณิชย์,1
การปล้นทรัพย์ที่มีผู้กระทำความผิดตั้งแต่สามคนขึ้นไปมีโทษอย่างไร?,ประมวลกฎหมายอาญา,1
ศาลสามารถสั่งให้การไกล่เกลี่ยคดีครอบครัวเป็นการลับได้หรือไม่?,พระราชบัญญัติศาลเยาวชนและครอบครัวและวิธีพิจารณาคดีเยาวชนและครอบครัว,1
หากบุคคลใดไม่ยอมตอบคำถามเมื่อถูกซักถามตามมาตรา 23 ของประมวลรัษฎากร จะมีโทษอย่างไร?,ประมวลรัษฎากร,1
หากผู้ซื้อที่ดินจัดสรรคัดค้านคำขอยกเลิกการจัดสรรที่ดิน จะมีผลอย่างไร?,พระราชบัญญัติการจัดสรรที่ดิน,1
การจับกุม ควบคุมตัว หรือกักขังบุคคลตามมาตรา 365 สามารถดำเนินคดีในความผิดอาญาได้หรือไม่?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
ผู้ที่ขุดดินหรือถมดินก่อนวันที่พระราชบัญญัติการขุดดินและถมดิน พ.ศ. 2543 มีผลบังคับใช้ต้องทำอย่างไรภายในสิบห้าวันหลังจากกฎหมายมีผลบังคับใช้ในพื้นที่นั้น?,พระราชบัญญัติการขุดดินและถมดิน,1
หากหน่วยงานของรัฐไม่ให้ความยินยอมในการยื่นคำร้องขอฟื้นฟูกิจการ ผู้ขอสามารถทำอะไรได้,พระราชบัญญัติล้มละลาย,1
หากบุคคลที่ได้รับหมายเรียกไม่ไปตามหมายเรียกจะเกิดอะไรขึ้น?,ประมวลกฎหมายวิธีพิจารณาความแพ่ง,1
การกระทำใดถือเป็นความผิดฐานยักยอกตามมาตรา 352,ประมวลกฎหมายอาญา,1
หากมีการกระทำความผิดตามพระราชบัญญัติการขุดดินและถมดิน พ.ศ. 2543 ใครจะถือว่าเป็นผู้เสียหายตามกฎหมายว่าด้วยวิธีพิจารณาความอาญา,พระราชบัญญัติการขุดดินและถมดิน,1
