question,answer,prompt,label
สัญญาจ้างแรงงานต้องทำเป็นลายลักษณ์อักษรหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,สัญญาจ้างแรงงานต้องทำเป็นลายลักษณ์อักษรหรือไม่,1
ข้อกำหนดในการจัดตั้งห้างหุ้นส่วนสามัญมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ข้อกำหนดในการจัดตั้งห้างหุ้นส่วนสามัญมีอะไรบ้าง,1
หลักการนับอายุความตามประมวลกฎหมายแพ่งและพาณิชย์เป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,หลักการนับอายุความตามประมวลกฎหมายแพ่งและพาณิชย์เป็นอย่างไร,1
การหมั้นถือเป็นนิติกรรมประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การหมั้นถือเป็นนิติกรรมประเภทใด,1
รายละเอียดใดบ้างที่ต้องมีในพินัยกรรมที่ทำเป็นลายมือชื่อ,คำถามนี้เกี่ยวข้องกับกฎหมาย,รายละเอียดใดบ้างที่ต้องมีในพินัยกรรมที่ทำเป็นลายมือชื่อ,1
การถอนคดีแพ่งทำได้ในขั้นตอนใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การถอนคดีแพ่งทำได้ในขั้นตอนใด,1
การบังคับคดีตามคำพิพากษาต้องดำเนินการอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การบังคับคดีตามคำพิพากษาต้องดำเนินการอย่างไร,1
การเลือกผู้จัดการมรดกต้องทำตามขั้นตอนใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การเลือกผู้จัดการมรดกต้องทำตามขั้นตอนใด,1
คำว่า “ทรัพย์สิน” ตามประมวลกฎหมายแพ่งและพาณิชย์ หมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,คำว่า “ทรัพย์สิน” ตามประมวลกฎหมายแพ่งและพาณิชย์ หมายถึงอะไร,1
การฟ้องร้องเกี่ยวกับละเมิดต้องฟ้องในระยะเวลาใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การฟ้องร้องเกี่ยวกับละเมิดต้องฟ้องในระยะเวลาใด,1
ความแตกต่างของสัญญาจะซื้อจะขายกับสัญญาซื้อขายคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความแตกต่างของสัญญาจะซื้อจะขายกับสัญญาซื้อขายคืออะไร,1
ภาระจำยอมถือเป็นสิทธิเช่นใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,ภาระจำยอมถือเป็นสิทธิเช่นใด,1
ประมวลกฎหมายอาญาชอบด้วยรัฐธรรมนูญหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,ประมวลกฎหมายอาญาชอบด้วยรัฐธรรมนูญหรือไม่,1
ประมวลกฎหมายอาญามีกี่ภาค,คำถามนี้เกี่ยวข้องกับกฎหมาย,ประมวลกฎหมายอาญามีกี่ภาค,1
โทษประหารชีวิตเป็นโทษสูงสุดในไทยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,โทษประหารชีวิตเป็นโทษสูงสุดในไทยหรือไม่,1
ความผิดสำเร็จกับความผิดพยายามแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความผิดสำเร็จกับความผิดพยายามแตกต่างกันอย่างไร,1
มาตรา 59 แห่งประมวลกฎหมายอาญาว่าด้วยหลักอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,มาตรา 59 แห่งประมวลกฎหมายอาญาว่าด้วยหลักอะไร,1
เจตนาในความผิดอาญาคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,เจตนาในความผิดอาญาคืออะไร,1
การลงโทษผู้กระทำผิดอายุไม่เกิน 18 ปี ต้องเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การลงโทษผู้กระทำผิดอายุไม่เกิน 18 ปี ต้องเป็นอย่างไร,1
โทษอาญามีกี่ประเภท อะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,โทษอาญามีกี่ประเภท อะไรบ้าง,1
การพิพากษาจำคุกตลอดชีวิตคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การพิพากษาจำคุกตลอดชีวิตคืออะไร,1
ความผิดฐานยักยอกกับลักทรัพย์ต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความผิดฐานยักยอกกับลักทรัพย์ต่างกันอย่างไร,1
ผู้เสียหายในคดีอาญาคือใคร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ผู้เสียหายในคดีอาญาคือใคร,1
หลักเกณฑ์การตั้งข้อหาในคดีอาญาคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,หลักเกณฑ์การตั้งข้อหาในคดีอาญาคืออะไร,1
การดำเนินคดีอาญาในฐานะโจทก์ทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การดำเนินคดีอาญาในฐานะโจทก์ทำได้หรือไม่,1
การย่อโทษกับการอภัยโทษต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การย่อโทษกับการอภัยโทษต่างกันอย่างไร,1
โทษปรับกับโทษกักขังแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,โทษปรับกับโทษกักขังแตกต่างกันอย่างไร,1
อายุความในคดีอาญามีระยะเวลากี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,อายุความในคดีอาญามีระยะเวลากี่ปี,1
การลงโทษทางอาญาแบบรอลงอาญาหมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การลงโทษทางอาญาแบบรอลงอาญาหมายถึงอะไร,1
การร่วมกระทำความผิดกับการสนับสนุนความผิดแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การร่วมกระทำความผิดกับการสนับสนุนความผิดแตกต่างกันอย่างไร,1
องค์ประกอบของความผิดทางอาญามีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,องค์ประกอบของความผิดทางอาญามีอะไรบ้าง,1
เหตุบรรเทาโทษมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,เหตุบรรเทาโทษมีอะไรบ้าง,1
การขอประกันตัวในคดีอาญาต้องขอที่หน่วยงานใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การขอประกันตัวในคดีอาญาต้องขอที่หน่วยงานใด,1
การอุทธรณ์ในคดีอาญาทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การอุทธรณ์ในคดีอาญาทำได้หรือไม่,1
การถอนฟ้องในคดีอาญาทำได้เมื่อใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การถอนฟ้องในคดีอาญาทำได้เมื่อใด,1
โทษอาญาที่รุนแรงที่สุดในไทยคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,โทษอาญาที่รุนแรงที่สุดในไทยคืออะไร,1
ศาลใดมีอำนาจพิจารณาคดีอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,ศาลใดมีอำนาจพิจารณาคดีอาญา,1
ความผิดทางอาญาใดที่ยอมความได้,คำถามนี้เกี่ยวข้องกับกฎหมาย,ความผิดทางอาญาใดที่ยอมความได้,1
ข้อใดไม่ใช่เหตุจำเป็นในการกระทำผิดอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,ข้อใดไม่ใช่เหตุจำเป็นในการกระทำผิดอาญา,1
คำว่า “ผู้ต้องหา” ในประมวลกฎหมายวิธีพิจารณาความอาญาหมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,คำว่า “ผู้ต้องหา” ในประมวลกฎหมายวิธีพิจารณาความอาญาหมายถึงอะไร,1
สิทธิของจำเลยในคดีอาญามีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,สิทธิของจำเลยในคดีอาญามีอะไรบ้าง,1
หน้าที่ของพนักงานสอบสวนมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,หน้าที่ของพนักงานสอบสวนมีอะไรบ้าง,1
พยานหลักฐานในคดีอาญามีกี่ประเภท,คำถามนี้เกี่ยวข้องกับกฎหมาย,พยานหลักฐานในคดีอาญามีกี่ประเภท,1
การให้การรับสารภาพมีผลอย่างไรต่อโทษ,คำถามนี้เกี่ยวข้องกับกฎหมาย,การให้การรับสารภาพมีผลอย่างไรต่อโทษ,1
ขั้นตอนการฝากขังผู้ต้องหาต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,ขั้นตอนการฝากขังผู้ต้องหาต้องปฏิบัติอย่างไร,1
การวางเงินประกันตัวคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การวางเงินประกันตัวคืออะไร,1
การไต่สวนมูลฟ้องมีความจำเป็นในคดีแบบใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,การไต่สวนมูลฟ้องมีความจำเป็นในคดีแบบใด,1
หมายค้นกับหมายจับแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,หมายค้นกับหมายจับแตกต่างกันอย่างไร,1
คำพิพากษาศาลชั้นต้นอาญาสามารถอุทธรณ์ได้ในเรื่องใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,คำพิพากษาศาลชั้นต้นอาญาสามารถอุทธรณ์ได้ในเรื่องใด,1
การจำหน่ายพยานหลักฐานทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การจำหน่ายพยานหลักฐานทำได้หรือไม่,1
จำเลยไม่มาขึ้นศาลจะถูกดำเนินการอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,จำเลยไม่มาขึ้นศาลจะถูกดำเนินการอย่างไร,1
การถอนฟ้องในคดีอาญาต้องได้รับความยินยอมจากจำเลยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การถอนฟ้องในคดีอาญาต้องได้รับความยินยอมจากจำเลยหรือไม่,1
การวางหลักประกันในคดีอาญาใช้วิธีใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,การวางหลักประกันในคดีอาญาใช้วิธีใดบ้าง,1
หลักการสืบพยานในคดีอาญามีขั้นตอนอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,หลักการสืบพยานในคดีอาญามีขั้นตอนอย่างไร,1
โทษหนักที่สุดสำหรับผู้เยาว์คืออะไรตามประมวลกฎหมายอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,โทษหนักที่สุดสำหรับผู้เยาว์คืออะไรตามประมวลกฎหมายอาญา,1
พนักงานอัยการมีหน้าที่อะไรในคดีอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,พนักงานอัยการมีหน้าที่อะไรในคดีอาญา,1
การสืบพยานหลักฐานในคดีอาญาต้องผ่านศาลหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การสืบพยานหลักฐานในคดีอาญาต้องผ่านศาลหรือไม่,1
ผู้กระทำผิดซ้ำต้องรับโทษเพิ่มหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,ผู้กระทำผิดซ้ำต้องรับโทษเพิ่มหรือไม่,1
การยกฟ้องกับการพิพากษายกฟ้องแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,การยกฟ้องกับการพิพากษายกฟ้องแตกต่างกันอย่างไร,1
บทบัญญัติใดในประมวลกฎหมายอาญาที่ว่าด้วยการกระทำความผิดหลายกรรม,คำถามนี้เกี่ยวข้องกับกฎหมาย,บทบัญญัติใดในประมวลกฎหมายอาญาที่ว่าด้วยการกระทำความผิดหลายกรรม,1
การฟ้องร้องแพ่งกับอาญาพร้อมกันได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,การฟ้องร้องแพ่งกับอาญาพร้อมกันได้หรือไม่,1
คดีแพ่งถือเป็นคดีประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,คดีแพ่งถือเป็นคดีประเภทใด,1
ศาลแพ่งมีหน้าที่พิจารณาคดีใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,ศาลแพ่งมีหน้าที่พิจารณาคดีใดบ้าง,1
