question,answer,Difficult,prompt,label
ถ้าผู้ตายมีหนี้กับบุคคลภายนอก ทายาทต้องรับผิดหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ถ้าผู้ตายมีหนี้กับบุคคลภายนอก ทายาทต้องรับผิดหรือไม่,1
การจดทะเบียนจัดตั้งบริษัทต้องใช้เอกสารอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การจดทะเบียนจัดตั้งบริษัทต้องใช้เอกสารอะไรบ้าง,1
ความแตกต่างของห้างหุ้นส่วนจำกัดกับห้างหุ้นส่วนสามัญเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความแตกต่างของห้างหุ้นส่วนจำกัดกับห้างหุ้นส่วนสามัญเป็นอย่างไร,1
การจดทะเบียนสมรสที่ต่างประเทศมีผลในไทยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การจดทะเบียนสมรสที่ต่างประเทศมีผลในไทยหรือไม่,1
สัญญาจ้างแรงงานต้องทำเป็นลายลักษณ์อักษรหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สัญญาจ้างแรงงานต้องทำเป็นลายลักษณ์อักษรหรือไม่,1
ข้อกำหนดในการจัดตั้งห้างหุ้นส่วนสามัญมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ข้อกำหนดในการจัดตั้งห้างหุ้นส่วนสามัญมีอะไรบ้าง,1
หลักการนับอายุความตามประมวลกฎหมายแพ่งและพาณิชย์เป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หลักการนับอายุความตามประมวลกฎหมายแพ่งและพาณิชย์เป็นอย่างไร,1
การหมั้นถือเป็นนิติกรรมประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การหมั้นถือเป็นนิติกรรมประเภทใด,1
รายละเอียดใดบ้างที่ต้องมีในพินัยกรรมที่ทำเป็นลายมือชื่อ,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,รายละเอียดใดบ้างที่ต้องมีในพินัยกรรมที่ทำเป็นลายมือชื่อ,1
การถอนคดีแพ่งทำได้ในขั้นตอนใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การถอนคดีแพ่งทำได้ในขั้นตอนใด,1
การบังคับคดีตามคำพิพากษาต้องดำเนินการอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การบังคับคดีตามคำพิพากษาต้องดำเนินการอย่างไร,1
การเลือกผู้จัดการมรดกต้องทำตามขั้นตอนใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การเลือกผู้จัดการมรดกต้องทำตามขั้นตอนใด,1
คำว่า “ทรัพย์สิน” ตามประมวลกฎหมายแพ่งและพาณิชย์ หมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,คำว่า “ทรัพย์สิน” ตามประมวลกฎหมายแพ่งและพาณิชย์ หมายถึงอะไร,1
การฟ้องร้องเกี่ยวกับละเมิดต้องฟ้องในระยะเวลาใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การฟ้องร้องเกี่ยวกับละเมิดต้องฟ้องในระยะเวลาใด,1
ความแตกต่างของสัญญาจะซื้อจะขายกับสัญญาซื้อขายคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความแตกต่างของสัญญาจะซื้อจะขายกับสัญญาซื้อขายคืออะไร,1
ภาระจำยอมถือเป็นสิทธิเช่นใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ภาระจำยอมถือเป็นสิทธิเช่นใด,1
ประมวลกฎหมายอาญาชอบด้วยรัฐธรรมนูญหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ประมวลกฎหมายอาญาชอบด้วยรัฐธรรมนูญหรือไม่,1
ประมวลกฎหมายอาญามีกี่ภาค,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ประมวลกฎหมายอาญามีกี่ภาค,1
โทษประหารชีวิตเป็นโทษสูงสุดในไทยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,โทษประหารชีวิตเป็นโทษสูงสุดในไทยหรือไม่,1
ความผิดสำเร็จกับความผิดพยายามแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความผิดสำเร็จกับความผิดพยายามแตกต่างกันอย่างไร,1
มาตรา 59 แห่งประมวลกฎหมายอาญาว่าด้วยหลักอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,มาตรา 59 แห่งประมวลกฎหมายอาญาว่าด้วยหลักอะไร,1
เจตนาในความผิดอาญาคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,เจตนาในความผิดอาญาคืออะไร,1
การลงโทษผู้กระทำผิดอายุไม่เกิน 18 ปี ต้องเป็นอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การลงโทษผู้กระทำผิดอายุไม่เกิน 18 ปี ต้องเป็นอย่างไร,1
โทษอาญามีกี่ประเภท อะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,โทษอาญามีกี่ประเภท อะไรบ้าง,1
การพิพากษาจำคุกตลอดชีวิตคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การพิพากษาจำคุกตลอดชีวิตคืออะไร,1
ความผิดฐานยักยอกกับลักทรัพย์ต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความผิดฐานยักยอกกับลักทรัพย์ต่างกันอย่างไร,1
ผู้เสียหายในคดีอาญาคือใคร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ผู้เสียหายในคดีอาญาคือใคร,1
หลักเกณฑ์การตั้งข้อหาในคดีอาญาคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หลักเกณฑ์การตั้งข้อหาในคดีอาญาคืออะไร,1
การดำเนินคดีอาญาในฐานะโจทก์ทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การดำเนินคดีอาญาในฐานะโจทก์ทำได้หรือไม่,1
การย่อโทษกับการอภัยโทษต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การย่อโทษกับการอภัยโทษต่างกันอย่างไร,1
โทษปรับกับโทษกักขังแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,โทษปรับกับโทษกักขังแตกต่างกันอย่างไร,1
อายุความในคดีอาญามีระยะเวลากี่ปี,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,อายุความในคดีอาญามีระยะเวลากี่ปี,1
การลงโทษทางอาญาแบบรอลงอาญาหมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การลงโทษทางอาญาแบบรอลงอาญาหมายถึงอะไร,1
การร่วมกระทำความผิดกับการสนับสนุนความผิดแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การร่วมกระทำความผิดกับการสนับสนุนความผิดแตกต่างกันอย่างไร,1
องค์ประกอบของความผิดทางอาญามีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,องค์ประกอบของความผิดทางอาญามีอะไรบ้าง,1
เหตุบรรเทาโทษมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,เหตุบรรเทาโทษมีอะไรบ้าง,1
การขอประกันตัวในคดีอาญาต้องขอที่หน่วยงานใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การขอประกันตัวในคดีอาญาต้องขอที่หน่วยงานใด,1
การอุทธรณ์ในคดีอาญาทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การอุทธรณ์ในคดีอาญาทำได้หรือไม่,1
การถอนฟ้องในคดีอาญาทำได้เมื่อใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การถอนฟ้องในคดีอาญาทำได้เมื่อใด,1
โทษอาญาที่รุนแรงที่สุดในไทยคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,โทษอาญาที่รุนแรงที่สุดในไทยคืออะไร,1
ศาลใดมีอำนาจพิจารณาคดีอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ศาลใดมีอำนาจพิจารณาคดีอาญา,1
ความผิดทางอาญาใดที่ยอมความได้,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ความผิดทางอาญาใดที่ยอมความได้,1
ข้อใดไม่ใช่เหตุจำเป็นในการกระทำผิดอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ข้อใดไม่ใช่เหตุจำเป็นในการกระทำผิดอาญา,1
คำว่า “ผู้ต้องหา” ในประมวลกฎหมายวิธีพิจารณาความอาญาหมายถึงอะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,คำว่า “ผู้ต้องหา” ในประมวลกฎหมายวิธีพิจารณาความอาญาหมายถึงอะไร,1
สิทธิของจำเลยในคดีอาญามีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,สิทธิของจำเลยในคดีอาญามีอะไรบ้าง,1
หน้าที่ของพนักงานสอบสวนมีอะไรบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หน้าที่ของพนักงานสอบสวนมีอะไรบ้าง,1
พยานหลักฐานในคดีอาญามีกี่ประเภท,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,พยานหลักฐานในคดีอาญามีกี่ประเภท,1
การให้การรับสารภาพมีผลอย่างไรต่อโทษ,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การให้การรับสารภาพมีผลอย่างไรต่อโทษ,1
ขั้นตอนการฝากขังผู้ต้องหาต้องปฏิบัติอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ขั้นตอนการฝากขังผู้ต้องหาต้องปฏิบัติอย่างไร,1
การวางเงินประกันตัวคืออะไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การวางเงินประกันตัวคืออะไร,1
การไต่สวนมูลฟ้องมีความจำเป็นในคดีแบบใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การไต่สวนมูลฟ้องมีความจำเป็นในคดีแบบใด,1
หมายค้นกับหมายจับแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หมายค้นกับหมายจับแตกต่างกันอย่างไร,1
คำพิพากษาศาลชั้นต้นอาญาสามารถอุทธรณ์ได้ในเรื่องใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,คำพิพากษาศาลชั้นต้นอาญาสามารถอุทธรณ์ได้ในเรื่องใด,1
การจำหน่ายพยานหลักฐานทำได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การจำหน่ายพยานหลักฐานทำได้หรือไม่,1
จำเลยไม่มาขึ้นศาลจะถูกดำเนินการอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,จำเลยไม่มาขึ้นศาลจะถูกดำเนินการอย่างไร,1
การถอนฟ้องในคดีอาญาต้องได้รับความยินยอมจากจำเลยหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การถอนฟ้องในคดีอาญาต้องได้รับความยินยอมจากจำเลยหรือไม่,1
การวางหลักประกันในคดีอาญาใช้วิธีใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การวางหลักประกันในคดีอาญาใช้วิธีใดบ้าง,1
หลักการสืบพยานในคดีอาญามีขั้นตอนอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,หลักการสืบพยานในคดีอาญามีขั้นตอนอย่างไร,1
โทษหนักที่สุดสำหรับผู้เยาว์คืออะไรตามประมวลกฎหมายอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,โทษหนักที่สุดสำหรับผู้เยาว์คืออะไรตามประมวลกฎหมายอาญา,1
พนักงานอัยการมีหน้าที่อะไรในคดีอาญา,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,พนักงานอัยการมีหน้าที่อะไรในคดีอาญา,1
การสืบพยานหลักฐานในคดีอาญาต้องผ่านศาลหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การสืบพยานหลักฐานในคดีอาญาต้องผ่านศาลหรือไม่,1
ผู้กระทำผิดซ้ำต้องรับโทษเพิ่มหรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ผู้กระทำผิดซ้ำต้องรับโทษเพิ่มหรือไม่,1
การยกฟ้องกับการพิพากษายกฟ้องแตกต่างกันอย่างไร,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การยกฟ้องกับการพิพากษายกฟ้องแตกต่างกันอย่างไร,1
บทบัญญัติใดในประมวลกฎหมายอาญาที่ว่าด้วยการกระทำความผิดหลายกรรม,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,บทบัญญัติใดในประมวลกฎหมายอาญาที่ว่าด้วยการกระทำความผิดหลายกรรม,1
การฟ้องร้องแพ่งกับอาญาพร้อมกันได้หรือไม่,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,การฟ้องร้องแพ่งกับอาญาพร้อมกันได้หรือไม่,1
คดีแพ่งถือเป็นคดีประเภทใด,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,คดีแพ่งถือเป็นคดีประเภทใด,1
ศาลแพ่งมีหน้าที่พิจารณาคดีใดบ้าง,คำถามนี้เกี่ยวข้องกับกฎหมาย,Easy,ศาลแพ่งมีหน้าที่พิจารณาคดีใดบ้าง,1
คำพิพากษาของกรรมการรายการ The Voice ปีนี้ยุติธรรมหรือไม่?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คำพิพากษาของกรรมการรายการ The Voice ปีนี้ยุติธรรมหรือไม่?,0
คุณเคยมีเพื่อนที่ชอบทำตัวเป็นพยานทุกเหตุการณ์ไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยมีเพื่อนที่ชอบทำตัวเป็นพยานทุกเหตุการณ์ไหม?,0
ทำไมบางคนถึงไม่ชอบทำสัญญาใจกับเพื่อน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ทำไมบางคนถึงไม่ชอบทำสัญญาใจกับเพื่อน?,0
หลักฐานอะไรที่แสดงว่าคุณรักกาแฟมากที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานอะไรที่แสดงว่าคุณรักกาแฟมากที่สุด?,0
ถ้าให้คุณเป็นจำเลยในศาลความรัก คุณจะสารภาพไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าให้คุณเป็นจำเลยในศาลความรัก คุณจะสารภาพไหม?,0
ใครคือโจทก์ตัวจริงในปัญหาครอบครัวของคุณ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ใครคือโจทก์ตัวจริงในปัญหาครอบครัวของคุณ?,0
คุณเคยฝันถึงศาลหรือห้องพิจารณาคดีไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยฝันถึงศาลหรือห้องพิจารณาคดีไหม?,0
ถ้ามีบทบัญญัติว่าทุกคนต้องนอนก่อน 4 ทุ่ม คุณจะรอดไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีบทบัญญัติว่าทุกคนต้องนอนก่อน 4 ทุ่ม คุณจะรอดไหม?,0
คุณเคยโดนฟ้องร้องเรื่องทำขนมไม่อร่อยหรือเปล่า?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยโดนฟ้องร้องเรื่องทำขนมไม่อร่อยหรือเปล่า?,0
ในชีวิตคุณ คดีไหนตัดสินใจยากที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ในชีวิตคุณ คดีไหนตัดสินใจยากที่สุด?,0
ถ้ามีร่างกฎหมายบังคับให้คนเลี้ยงแมว คุณจะเห็นด้วยไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีร่างกฎหมายบังคับให้คนเลี้ยงแมว คุณจะเห็นด้วยไหม?,0
คุณคิดว่าพยานในความทรงจำเราน่าเชื่อถือไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณคิดว่าพยานในความทรงจำเราน่าเชื่อถือไหม?,0
คุณเคยทำผิดข้อตกลงกับตัวเองไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยทำผิดข้อตกลงกับตัวเองไหม?,0
หลักฐานอะไรที่ทำให้รู้ว่าใครแอบกินเค้กเมื่อคืน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานอะไรที่ทำให้รู้ว่าใครแอบกินเค้กเมื่อคืน?,0
คุณเคยอยากให้ตัวเองโดนพิพากษาให้หยุดคิดมากไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยอยากให้ตัวเองโดนพิพากษาให้หยุดคิดมากไหม?,0
ถ้ามีโจทก์ในชีวิตคุณคือความขี้เกียจ จะจัดการยังไง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีโจทก์ในชีวิตคุณคือความขี้เกียจ จะจัดการยังไง?,0
ถ้าการเลื่อนนัดคืออาชญากรรม คุณจะต้องไปศาลกี่ครั้งแล้ว?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าการเลื่อนนัดคืออาชญากรรม คุณจะต้องไปศาลกี่ครั้งแล้ว?,0
บทบัญญัติในใจคุณคืออะไรบ้างที่ห้ามทำเด็ดขาด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,บทบัญญัติในใจคุณคืออะไรบ้างที่ห้ามทำเด็ดขาด?,0
ถ้าโดนฟ้องด้วยความเหงา คุณจะมีพยานฝ่ายไหนบ้าง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าโดนฟ้องด้วยความเหงา คุณจะมีพยานฝ่ายไหนบ้าง?,0
การพิพากษาในโซเชียลมีเดียยุติธรรมจริงไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,การพิพากษาในโซเชียลมีเดียยุติธรรมจริงไหม?,0
ถ้ามีร่างกฎหมายบังคับให้เที่ยวปีละ 2 ครั้ง คุณจะสนับสนุนไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีร่างกฎหมายบังคับให้เที่ยวปีละ 2 ครั้ง คุณจะสนับสนุนไหม?,0
หลักฐานใดที่ชัดเจนว่าคุณเป็นคนตลกในกลุ่ม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานใดที่ชัดเจนว่าคุณเป็นคนตลกในกลุ่ม?,0
ใครคือจำเลยเวลารีโมตทีวีหาย?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ใครคือจำเลยเวลารีโมตทีวีหาย?,0
โจทก์ของคุณในวัยเด็กคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,โจทก์ของคุณในวัยเด็กคืออะไร?,0
ถ้ามีศาลแห่งความฝัน คุณอยากยื่นคำร้องเรื่องอะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีศาลแห่งความฝัน คุณอยากยื่นคำร้องเรื่องอะไร?,0
บทบัญญัติของคุณเรื่องการใช้โทรศัพท์คืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,บทบัญญัติของคุณเรื่องการใช้โทรศัพท์คืออะไร?,0
คุณเคยต้องตั้งพยานใจตัวเองเวลาตัดสินใจอะไรยากไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยต้องตั้งพยานใจตัวเองเวลาตัดสินใจอะไรยากไหม?,0
ถ้าทุกเช้าคือคดีใหม่ คุณจะชนะกี่วันต่อสัปดาห์?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าทุกเช้าคือคดีใหม่ คุณจะชนะกี่วันต่อสัปดาห์?,0
การฟ้องร้องภายในใจตัวเองเกิดขึ้นบ่อยแค่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,การฟ้องร้องภายในใจตัวเองเกิดขึ้นบ่อยแค่ไหน?,0
คุณมีหลักฐานอะไรว่าเมื่อวานคุณไม่ได้ขี้เกียจ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณมีหลักฐานอะไรว่าเมื่อวานคุณไม่ได้ขี้เกียจ?,0
ถ้ามีโจทก์เป็นเจ้านาย คุณอยากมีทนายคือใคร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีโจทก์เป็นเจ้านาย คุณอยากมีทนายคือใคร?,0
ศาลแห่งเสียงเพลงในใจคุณกำลังพิจารณาเพลงไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ศาลแห่งเสียงเพลงในใจคุณกำลังพิจารณาเพลงไหน?,0
ถ้าโดนพิพากษาว่าต้องนอนมากขึ้น คุณจะยอมรับไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าโดนพิพากษาว่าต้องนอนมากขึ้น คุณจะยอมรับไหม?,0
คุณเคยสัญญาอะไรกับตัวเองแล้วทำไม่สำเร็จไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยสัญญาอะไรกับตัวเองแล้วทำไม่สำเร็จไหม?,0
พยานรักครั้งแรกของคุณคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,พยานรักครั้งแรกของคุณคืออะไร?,0
ถ้ามีร่างกฎหมายให้ทำงาน 3 วันต่อสัปดาห์ จะดีไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีร่างกฎหมายให้ทำงาน 3 วันต่อสัปดาห์ จะดีไหม?,0
คุณจะให้ใครมาเป็นพยานว่าเค้กคุณอร่อยจริง?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณจะให้ใครมาเป็นพยานว่าเค้กคุณอร่อยจริง?,0
หลักฐานอะไรที่บอกว่าคุณกำลังมีความสุข?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานอะไรที่บอกว่าคุณกำลังมีความสุข?,0
จำเลยในเรื่องสุขภาพของคุณคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,จำเลยในเรื่องสุขภาพของคุณคืออะไร?,0
โจทก์ในชีวิตประจำวันที่น่ารำคาญที่สุดคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,โจทก์ในชีวิตประจำวันที่น่ารำคาญที่สุดคืออะไร?,0
ถ้ามีการฟ้องร้องเรื่องการใช้เวลากับโทรศัพท์ คุณจะรอดไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีการฟ้องร้องเรื่องการใช้เวลากับโทรศัพท์ คุณจะรอดไหม?,0
การตัดสินใจซื้อของออนไลน์คือคดีใหญ่หรือเล็กสำหรับคุณ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,การตัดสินใจซื้อของออนไลน์คือคดีใหญ่หรือเล็กสำหรับคุณ?,0
พยานในความคิดสร้างสรรค์ของคุณคือใคร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,พยานในความคิดสร้างสรรค์ของคุณคือใคร?,0
ถ้ามีร่างกฎหมายห้ามทำงานเกิน 6 ชม./วัน คุณจะชอบไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีร่างกฎหมายห้ามทำงานเกิน 6 ชม./วัน คุณจะชอบไหม?,0
ศาลของการให้อภัยควรตั้งอยู่ที่ไหน?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ศาลของการให้อภัยควรตั้งอยู่ที่ไหน?,0
บทบัญญัติชีวิตคุณข้อไหนที่คุณฝ่าฝืนบ่อยที่สุด?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,บทบัญญัติชีวิตคุณข้อไหนที่คุณฝ่าฝืนบ่อยที่สุด?,0
หลักฐานอะไรที่คุณยังเป็นเด็กในใจเสมอ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานอะไรที่คุณยังเป็นเด็กในใจเสมอ?,0
ถ้าต้องมีคำพิพากษาให้รักตัวเองมากขึ้น จะดีไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้าต้องมีคำพิพากษาให้รักตัวเองมากขึ้น จะดีไหม?,0
คุณเคยฟ้องตัวเองในใจบ้างไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,คุณเคยฟ้องตัวเองในใจบ้างไหม?,0
ถ้ามีคดีเรื่องไม่กินผัก ใครคือทนายฝ่ายคุณ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีคดีเรื่องไม่กินผัก ใครคือทนายฝ่ายคุณ?,0
โจทก์ในวัยทำงานที่คุณกลัวที่สุดคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,โจทก์ในวัยทำงานที่คุณกลัวที่สุดคืออะไร?,0
ถ้ามีศาลที่ตัดสินว่าคุณควรไปพักผ่อน คุณจะเชื่อไหม?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ถ้ามีศาลที่ตัดสินว่าคุณควรไปพักผ่อน คุณจะเชื่อไหม?,0
หลักฐานว่าโลกนี้ยังมีความหวังคืออะไรสำหรับคุณ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,หลักฐานว่าโลกนี้ยังมีความหวังคืออะไรสำหรับคุณ?,0
ใครคือพยานในความสำเร็จของคุณ?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,ใครคือพยานในความสำเร็จของคุณ?,0
สัญญาใจที่เคยผิดหวังที่สุดคืออะไร?,ขออภัยคำถามของคุณไม่ได้เกี่ยวข้องกับกฎหมาย,Hard,สัญญาใจที่เคยผิดหวังที่สุดคืออะไร?,0
